"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
5 30 0.1 "MI-a1" "gamma01" 0.0679486535888651 0.188587104647437 -0.322768654865463 0.458665962043194
5 30 0.1 "MI-R2" "gamma10" 0.219657902680278 0.0773703748285521 0.0670970385605535 0.372218766800002
5 30 0.1 "MI-R2" "gamma01" 0.130901071222034 0.197579442472837 -0.257178397934232 0.518980540378301
5 30 0.1 "MI-a2" "gamma10" 0.219657902680278 0.0773703748285521 0.0662945160100203 0.373021289350535
5 30 0.1 "MI-a2" "gamma01" 0.130901071222034 0.197579442472837 -0.278855920033675 0.540658062477744
6 60 0.1 "MI-R1" "gamma10" 0.191245890278537 0.0614171227036541 0.0658013904823281 0.316690390074746
6 60 0.1 "MI-R1" "gamma01" 0.385314594468404 0.111152524199817 0.166510554829304 0.604118634107505
6 60 0.1 "MI-a1" "gamma10" 0.191245890278537 0.0614171227036541 0.0652113305465689 0.317280450010505
6 60 0.1 "MI-a1" "gamma01" 0.385314594468404 0.111152524199817 0.160579522421515 0.610049666515293
6 60 0.1 "MI-R2" "gamma10" 0.204795248613727 0.0555572081456178 0.0928507910617704 0.316739706165684
6 60 0.1 "MI-R2" "gamma01" 0.387520428096471 0.112517301402063 0.166347391962809 0.608693464230133
6 60 0.1 "MI-a2" "gamma10" 0.204795248613727 0.0555572081456178 0.0924237639656792 0.317166733261775
6 60 0.1 "MI-a2" "gamma01" 0.387520428096471 0.112517301402063 0.160594676915921 0.614446179277021
1 15 0.1 "MI-R1" "gamma10" 0.127445640083653 0.0824048661012321 -0.0351870030689352 0.290078283236241
1 15 0.1 "MI-R1" "gamma01" 0.498783427974705 0.37058174034838 -0.228865987802126 1.22643284375154
1 15 0.1 "MI-a1" "gamma10" 0.127445640083653 0.0824048661012321 -0.0369722665943155 0.291863546761621
1 15 0.1 "MI-a1" "gamma01" 0.498783427974705 0.37058174034838 -0.328020719007347 1.32558757495676
1 15 0.1 "MI-R2" "gamma10" 0.126936882908911 0.129404573842257 -0.143894308962515 0.397768074780337
1 15 0.1 "MI-R2" "gamma01" 0.564884697118236 0.385319245444161 -0.19147423303883 1.3212436272753
1 15 0.1 "MI-a2" "gamma10" 0.126936882908911 0.129404573842257 -0.151798792957859 0.405672558775681
1 15 0.1 "MI-a2" "gamma01" 0.564884697118236 0.385319245444161 -0.293206589449661 1.42297598368613
5 30 0.1 "MI-R1" "gamma10" 0.21066779414569 0.0796537625705677 0.0517830936611904 0.36955249463019
5 30 0.1 "MI-R1" "gamma01" 0.0324664698855363 0.188620631431395 -0.339497957796185 0.404430897567258
5 30 0.1 "MI-a1" "gamma10" 0.21066779414569 0.0796537625705677 0.0507409947478617 0.370594593543519
5 30 0.1 "MI-a1" "gamma01" 0.0324664698855363 0.188620631431395 -0.362802680962323 0.427735620733395
5 30 0.1 "MI-R2" "gamma10" 0.196943162209637 0.0733582335407441 0.052042510829841 0.341843813589433
5 30 0.1 "MI-R2" "gamma01" -0.0391687909734785 0.200984157362919 -0.436095870902254 0.357758288955297
5 30 0.1 "MI-a2" "gamma10" 0.196943162209637 0.0733582335407441 0.0512503638603402 0.342635960558934
5 30 0.1 "MI-a2" "gamma01" -0.0391687909734785 0.200984157362919 -0.461833145067976 0.383495563121019
6 60 0.1 "MI-R1" "gamma10" 0.208860611917832 0.0473099247431921 0.115363664841743 0.30235755899392
6 60 0.1 "MI-R1" "gamma01" 0.549858830863316 0.102964964504007 0.347954160303472 0.751763501423161
6 60 0.1 "MI-a1" "gamma10" 0.208860611917832 0.0473099247431921 0.115108161802149 0.302613062033514
6 60 0.1 "MI-a1" "gamma01" 0.549858830863316 0.102964964504007 0.343212374230262 0.756505287496371
6 60 0.1 "MI-R2" "gamma10" 0.199202501259898 0.0464914874101398 0.107336602755478 0.291068399764318
6 60 0.1 "MI-R2" "gamma01" 0.547454144198694 0.106323741736813 0.3387545908136 0.756153697583789
6 60 0.1 "MI-a2" "gamma10" 0.199202501259898 0.0464914874101398 0.107086331109461 0.291318671410336
6 60 0.1 "MI-a2" "gamma01" 0.547454144198694 0.106323741736813 0.333595236013392 0.761313052383996
1 15 0.1 "MI-R1" "gamma10" 0.323108249021583 0.072638152355403 0.180135020749765 0.4660814772934
1 15 0.1 "MI-R1" "gamma01" 0.29686027674413 0.244840943660699 -0.184085496797651 0.777806050285911
1 15 0.1 "MI-a1" "gamma10" 0.323108249021583 0.072638152355403 0.178664010839516 0.467552487203649
1 15 0.1 "MI-a1" "gamma01" 0.29686027674413 0.244840943660699 -0.250678805782099 0.844399359270358
1 15 0.1 "MI-R2" "gamma10" 0.316773185167825 0.075194745254952 0.167919874280756 0.465626496054894
1 15 0.1 "MI-R2" "gamma01" 0.287171023440028 0.258953002911863 -0.222893302817288 0.797235349697344
1 15 0.1 "MI-a2" "gamma10" 0.316773185167825 0.075194745254952 0.166179005298412 0.467367365037238
1 15 0.1 "MI-a2" "gamma01" 0.287171023440028 0.258953002911863 -0.300045812311201 0.874387859191258
5 30 0.1 "MI-R1" "gamma10" 0.229021739963532 0.0711109784311632 0.0873169572377454 0.370726522689318
5 30 0.1 "MI-R1" "gamma01" 0.536152263152854 0.186853330264993 0.169038760413458 0.903265765892249
5 30 0.1 "MI-a1" "gamma10" 0.229021739963532 0.0711109784311632 0.0864029997136448 0.371640480213419
5 30 0.1 "MI-a1" "gamma01" 0.536152263152854 0.186853330264993 0.148329165911135 0.923975360394572
5 30 0.1 "MI-R2" "gamma10" 0.205922153251797 0.0661754411034461 0.074821626899148 0.337022679604445
5 30 0.1 "MI-R2" "gamma01" 0.547207104744217 0.203418833967707 0.148085591858451 0.946328617629984
5 30 0.1 "MI-a2" "gamma10" 0.205922153251797 0.0661754411034461 0.0740607864486098 0.337783520054983
